Cluster,Total Occurrences,Unique Words,Top Words (with counts),Avg Sentiment,Avg Self-Ref Ratio,Avg Second-Person Ratio,Avg Token Count,Avg Expressive Rate,Avg Anthropomorphic Rate
C12,53165,1389,"programming (27,866) | Programming (3,275) | coding (1,995) | Java (1,487) | scripting (1,197)",0.122,0.021,0.017,68.052,0.067,0.218
C3,50259,2320,"React (1,709) | relationships (1,684) | history (1,386) | API (1,369) | art (1,098)",0.165,0.024,0.019,60.273,0.143,0.229
C48,45017,1851,"writing (9,357) | literature (6,599) | creative writing (5,950) | content creation (4,219) | editing (1,367)",0.212,0.019,0.021,60.636,0.257,0.305
C31,36359,2133,"software development (12,475) | Software Development (2,474) | software (957) | app development (920) | automation (830)",0.175,0.024,0.018,63.614,0.082,0.212
C27,33965,1660,"storytelling (7,413) | character development (5,143) | fiction (2,376) | fantasy (2,248) | character interaction (928)",0.149,0.015,0.012,78.062,0.445,0.333
C49,31669,2607,"Python (6,656) | JavaScript (4,641) | CSS (1,097) | PHP (847) | Node.js (761)",0.142,0.024,0.013,86.39,0.054,0.174
C30,30137,1562,"data structures (1,557) | data visualization (1,513) | data management (1,473) | database (1,379) | Database Management (1,210)",0.201,0.021,0.015,72.004,0.056,0.171
C40,29594,2936,"philosophy (2,522) | psychology (2,000) | personal development (1,324) | creativity (1,315) | problem-solving (1,019)",0.229,0.024,0.021,81.905,0.33,0.287
C20,27423,1996,"web development (5,048) | Web Development (4,257) | SEO (1,857) | user interface (1,634) | HTML (1,086)",0.22,0.027,0.017,69.619,0.081,0.202
C18,23158,2478,"humor (1,310) | poetry (1,212) | collaboration (527) | fashion (410) | friendship (355)",0.209,0.023,0.023,75.941,0.295,0.268
C35,22773,1478,"marketing (4,466) | social media (1,954) | branding (1,867) | advertising (916) | Marketing (887)",0.384,0.024,0.023,97.004,0.151,0.257
C13,21993,1632,"project management (2,609) | file management (1,648) | task management (880) | time management (719) | Project Management (695)",0.214,0.025,0.019,81.712,0.095,0.198
C33,21467,1686,"language (3,090) | linguistics (1,733) | grammar (1,158) | Natural Language Processing (841) | natural language processing (606)",0.181,0.019,0.02,63.048,0.132,0.234
C25,21364,3385,"error handling (3,374) | Error Handling (1,394) | debugging (869) | formatting (619) | file handling (505)",0.049,0.021,0.014,68.341,0.082,0.184
C0,21322,2522,"mathematics (4,816) | statistics (1,863) | Mathematics (805) | Physics (675) | Statistics (675)",0.138,0.016,0.016,49.025,0.075,0.177
C1,19872,2623,"finance (3,306) | real estate (1,231) | cryptocurrency (714) | investment (660) | Finance (413)",0.31,0.02,0.016,108.427,0.085,0.174
C19,19613,1208,"communication (10,895) | feedback (857) | dialogue (806) | email communication (508) | dialogue writing (497)",0.214,0.028,0.036,49.737,0.326,0.408
C22,19027,1805,"machine learning (5,169) | Machine Learning (1,733) | algorithms (723) | neural networks (585) | optimization (528)",0.201,0.02,0.016,86.467,0.07,0.18
C45,18878,1396,"technology (3,982) | Artificial Intelligence (1,174) | computer science (1,106) | artificial intelligence (1,093) | science fiction (761)",0.246,0.017,0.015,96.215,0.119,0.176
C6,18158,1468,"gaming (3,365) | game design (1,830) | game development (1,375) | role-playing (1,058) | game mechanics (913)",0.198,0.029,0.022,72.055,0.243,0.323
